step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
1,0.134866,0.532915,0.868669,1.100306,1.590691,0.917473
2,0.393698,0.630391,0.768739,1.028830,1.524434,0.943089
3,0.226537,0.611030,0.813729,1.058078,1.575633,0.940119
4,0.353326,0.581143,0.782462,1.124203,1.455600,0.928114
5,0.445633,0.588272,0.800356,1.199574,1.457650,0.950220
6,0.434587,0.601042,0.779653,1.271615,1.516730,0.960180
7,0.429785,0.579786,0.791303,1.263907,1.611073,0.974632
8,0.481987,0.556827,0.834093,1.283750,1.644798,0.961583
9,0.436081,0.530274,0.800646,1.261564,1.739371,0.948934
10,0.440507,0.547421,0.811015,1.156823,1.824133,0.943547
11,0.505016,0.600243,0.789922,1.121850,1.943499,0.955994
12,0.514961,0.607982,0.816837,1.111742,1.970070,0.962498
13,0.473697,0.611247,0.828764,1.083046,2.059280,0.967241
14,0.427498,0.598354,0.831802,1.106477,2.174482,0.987374
15,0.356237,0.589103,0.843087,1.049061,2.276961,0.994906
16,0.416311,0.525246,0.831658,1.042681,2.330273,0.990556
17,0.405312,0.528943,0.827743,1.025949,2.365998,0.989621
18,0.450060,0.558451,0.845577,1.025513,2.431006,1.000872
19,0.336335,0.576578,0.867639,1.035230,2.516835,1.010933
20,0.334108,0.569756,0.840013,1.006704,2.578796,1.025720
21,0.369159,0.523931,0.873920,1.023757,2.623398,1.029502
22,0.371897,0.556941,0.893868,1.025001,2.667994,1.046152
23,0.359657,0.593029,0.898139,1.035612,2.728519,1.062155
24,0.382188,0.636965,0.904609,1.033191,2.779661,1.075628
25,0.427558,0.591330,0.930185,1.055561,2.856223,1.088689
26,0.438892,0.593707,0.914679,1.066454,2.894336,1.093956
27,0.370579,0.547893,0.903288,1.075810,2.961400,1.090265
28,0.362199,0.585319,0.888179,1.088196,3.001141,1.110104
29,0.370801,0.574919,0.863581,1.092603,3.077426,1.111759
30,0.389723,0.594919,0.871050,1.115704,3.180757,1.138329
31,0.340222,0.610440,0.858108,1.119079,3.235678,1.156474
32,0.369283,0.613042,0.825478,1.107610,3.285458,1.153003
33,0.424514,0.617114,0.840655,1.141452,3.367006,1.174471
34,0.413478,0.648585,0.852071,1.158993,3.448008,1.200232
35,0.431937,0.648893,0.820876,1.177884,3.535410,1.213871
36,0.430758,0.663455,0.811136,1.171576,3.562490,1.216313
37,0.479961,0.645398,0.835321,1.180121,3.592979,1.224451
38,0.518469,0.676828,0.787648,1.164893,3.577656,1.221656
39,0.482411,0.635611,0.757260,1.186495,3.639384,1.229719
40,0.526366,0.682031,0.767025,1.194741,3.768540,1.254927
41,0.484382,0.672540,0.780193,1.205845,3.859020,1.269263
42,0.522993,0.700474,0.783641,1.213559,3.877738,1.275236
43,0.500984,0.680759,0.834597,1.187617,3.886270,1.277692
44,0.479327,0.679935,0.861179,1.176774,3.902000,1.280404
45,0.538546,0.648682,0.868476,1.178930,3.952336,1.290734
46,0.572769,0.669435,0.848838,1.181839,3.979805,1.295098
47,0.568753,0.633342,0.847022,1.191811,4.021675,1.304583
48,0.579785,0.643505,0.882959,1.193588,4.011165,1.315318
49,0.545830,0.678353,0.889112,1.184791,4.069793,1.320230
50,0.553550,0.685925,0.881973,1.190370,4.113735,1.328105
51,0.543233,0.687201,0.896376,1.188726,4.176194,1.337139
52,0.600433,0.672370,0.873052,1.182999,4.183272,1.339944
53,0.528399,0.660633,0.907102,1.140068,4.245098,1.349269
54,0.496784,0.693195,0.941075,1.156830,4.313227,1.371555
55,0.505736,0.679046,0.937481,1.165447,4.391662,1.384972
