step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
1,0.488054,0.690571,0.930209,1.196448,1.581857,1.002416
2,0.600954,0.763494,0.976300,1.255670,1.398561,1.015243
3,0.450232,0.563528,0.783953,1.139943,1.324691,0.893458
4,0.186075,0.516211,0.691461,0.878390,1.490410,0.767047
5,0.324590,0.601372,0.795154,0.851164,1.457224,0.811453
6,0.500678,0.628687,0.766930,0.904382,1.390017,0.831383
7,0.312294,0.643327,0.729743,0.882640,1.342428,0.790832
8,0.351309,0.582791,0.730408,0.885374,1.281824,0.791481
9,0.371919,0.599486,0.752448,0.948125,1.238768,0.804986
10,0.349242,0.619372,0.788155,1.033376,1.293276,0.860870
11,0.267150,0.666192,0.805642,0.988545,1.308243,0.862205
12,0.361034,0.624565,0.715705,0.963574,1.289633,0.836311
13,0.388573,0.649642,0.801685,0.964147,1.306097,0.853798
14,0.460214,0.659122,0.781697,0.999529,1.403183,0.877429
15,0.474089,0.628403,0.740378,1.003798,1.402086,0.866250
16,0.495181,0.620573,0.774950,0.972151,1.397520,0.869789
17,0.572866,0.615954,0.786107,0.980119,1.371600,0.883944
18,0.559940,0.659433,0.741352,0.999967,1.375643,0.872341
19,0.498151,0.668155,0.744860,0.987023,1.376631,0.859426
20,0.409072,0.640367,0.758088,1.005209,1.374824,0.871543
21,0.463939,0.635901,0.799842,1.002044,1.351394,0.886912
22,0.438315,0.678587,0.844494,1.000690,1.378888,0.888761
23,0.444137,0.625644,0.790827,0.988396,1.395578,0.875017
24,0.505696,0.634768,0.820298,1.034821,1.434776,0.912173
25,0.480627,0.686135,0.827817,1.056591,1.430818,0.926798
26,0.517645,0.703306,0.810374,1.092445,1.480872,0.935650
27,0.442162,0.699416,0.808620,1.113378,1.459885,0.928098
28,0.433701,0.647851,0.831412,1.096690,1.486500,0.924649
29,0.401180,0.610664,0.796959,1.124170,1.484176,0.919881
30,0.382954,0.635798,0.823899,1.140899,1.487109,0.936766
31,0.443195,0.615782,0.838480,1.168769,1.570118,0.952318
32,0.469354,0.582816,0.947370,1.184482,1.614550,0.977179
33,0.524395,0.590603,0.946104,1.181695,1.611371,0.994377
34,0.486775,0.630362,0.951723,1.193772,1.632941,1.007112
35,0.457556,0.613286,0.940905,1.195786,1.651746,1.010939
36,0.424107,0.656636,0.933047,1.171994,1.645829,1.010217
37,0.471017,0.709509,0.972565,1.180138,1.675532,1.015950
38,0.454448,0.699176,0.958610,1.157949,1.656169,1.000807
39,0.446314,0.677096,0.929695,1.179007,1.598008,0.990360
40,0.438167,0.688665,0.905442,1.153172,1.574022,0.984681
41,0.446629,0.648336,0.881583,1.164304,1.593213,0.968052
42,0.432439,0.684117,0.878855,1.180409,1.629484,0.969249
43,0.416231,0.706133,0.881226,1.188974,1.705757,0.990668
44,0.482746,0.702723,0.877083,1.214758,1.640133,0.983943
45,0.493000,0.688638,0.861288,1.237628,1.596417,0.972538
46,0.447190,0.696296,0.864147,1.199241,1.542692,0.963474
47,0.447763,0.690279,0.844540,1.203625,1.508108,0.964466
48,0.516506,0.653342,0.847419,1.169516,1.513481,0.946130
49,0.512539,0.632641,0.851735,1.192654,1.502835,0.950530
50,0.526335,0.634728,0.890599,1.112121,1.485506,0.941969
51,0.492739,0.631143,0.911208,1.112144,1.396021,0.938091
52,0.443603,0.627756,0.883645,1.126908,1.357699,0.931290
53,0.471230,0.579281,0.883379,1.144066,1.274035,0.921685
54,0.476237,0.578880,0.866667,1.132394,1.233486,0.912098
55,0.483543,0.584831,0.877253,1.109417,1.237846,0.910542
56,0.472200,0.627886,0.898131,1.117483,1.257523,0.916325
57,0.485364,0.648546,0.915197,1.121442,1.211674,0.921310
58,0.559363,0.675674,0.939445,1.150668,1.233357,0.932746
59,0.497186,0.705381,0.936109,1.115864,1.260988,0.927284
60,0.512181,0.676036,0.922434,1.100323,1.290766,0.920701
61,0.512994,0.654852,0.936128,1.086447,1.308270,0.914299
62,0.435883,0.659080,0.913113,1.060293,1.308319,0.909859
63,0.478752,0.688992,0.906820,1.034493,1.305247,0.915622
64,0.457623,0.701056,0.944842,1.058837,1.304961,0.936178
65,0.475581,0.712686,0.949700,1.098994,1.263994,0.943517
66,0.548639,0.745018,0.949861,1.128225,1.269203,0.958506
67,0.521799,0.706514,0.982498,1.154826,1.259745,0.964900
