step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
1,0.139465,0.219687,0.282948,0.342952,0.419844,0.291795
2,0.210392,0.295734,0.350366,0.415540,0.494915,0.361701
3,0.282611,0.371241,0.420659,0.488730,0.573398,0.433850
4,0.354797,0.450401,0.493597,0.569944,0.653135,0.508747
5,0.430880,0.530584,0.569048,0.649554,0.729237,0.584723
6,0.495235,0.596982,0.632756,0.712158,0.788809,0.648577
7,0.573519,0.674864,0.711248,0.789163,0.864221,0.725691
8,0.637555,0.740543,0.775939,0.855078,0.928489,0.790114
9,0.712537,0.821406,0.851052,0.936171,1.009643,0.868399
10,0.775019,0.884965,0.918242,1.000648,1.074017,0.933351
11,0.847929,0.963173,0.996530,1.080241,1.153922,1.011749
12,0.914922,1.026425,1.059648,1.147079,1.220163,1.076769
13,0.995395,1.106274,1.139344,1.227875,1.296372,1.155954
14,1.062475,1.171550,1.205825,1.291781,1.362416,1.221746
15,1.130868,1.237549,1.272399,1.357977,1.429458,1.288387
16,1.198997,1.302915,1.336355,1.424373,1.496615,1.353582
17,1.274783,1.380881,1.415388,1.505350,1.569499,1.431972
18,1.338326,1.447619,1.480347,1.568721,1.635217,1.496858
19,1.404530,1.513291,1.545742,1.637367,1.701879,1.562485
20,1.471705,1.576191,1.612768,1.705798,1.769708,1.629648
21,1.532058,1.640850,1.676688,1.772759,1.837210,1.695323
22,1.612932,1.719488,1.757942,1.852110,1.917925,1.775296
23,1.681671,1.785659,1.823201,1.917662,1.985381,1.841240
24,1.747590,1.855314,1.888519,1.981092,2.053348,1.907172
25,1.813036,1.918774,1.953867,2.046449,2.119588,1.973111
26,1.881019,1.985430,2.020765,2.113424,2.187642,2.039524
27,1.963566,2.065480,2.100236,2.196254,2.266564,2.120168
28,2.030044,2.132287,2.168552,2.262339,2.332712,2.186662
29,2.095817,2.198724,2.236969,2.327916,2.399347,2.253388
30,2.162920,2.263988,2.306468,2.394046,2.467229,2.320509
31,2.244604,2.345867,2.389395,2.474420,2.547311,2.400620
32,2.309830,2.414719,2.455236,2.543220,2.612784,2.467476
33,2.377989,2.483665,2.520375,2.610194,2.678677,2.533901
34,2.443477,2.547090,2.590447,2.676390,2.744264,2.600693
35,2.523178,2.626683,2.669031,2.756194,2.823497,2.680414
36,2.601347,2.708179,2.749068,2.838317,2.901440,2.760554
37,2.679679,2.791462,2.829775,2.919492,2.982988,2.841635
38,2.757587,2.872859,2.909452,2.999200,3.062996,2.921887
39,2.824309,2.936747,2.978731,3.064652,3.128340,2.988042
40,2.901625,3.019072,3.061494,3.142260,3.210344,3.068512
41,2.984590,3.099170,3.143363,3.220120,3.290992,3.148367
42,3.062015,3.178475,3.220340,3.300080,3.367542,3.227662
43,3.126684,3.244419,3.287883,3.367325,3.430893,3.294372
44,3.207897,3.322544,3.368830,3.445842,3.510577,3.374525
45,3.288686,3.401738,3.449113,3.527138,3.590322,3.455237
46,3.368595,3.479437,3.530846,3.607131,3.669391,3.534946
47,3.446442,3.559193,3.610390,3.686520,3.749224,3.614056
48,3.514689,3.625630,3.675469,3.754748,3.814593,3.680482
49,3.594870,3.706408,3.754392,3.836408,3.891568,3.760101
50,3.672579,3.785519,3.832072,3.914927,3.968566,3.839092
51,3.749640,3.863988,3.910175,3.995767,4.044873,3.917950
52,3.814117,3.931715,3.975301,4.061924,4.115217,3.984255
53,3.895436,4.013943,4.053745,4.142038,4.192943,4.064240
54,3.978332,4.095957,4.134460,4.219916,4.275995,4.143952
